name,industry,size,stage,location,description,founded,employees,website,research_date,batch_id,competitive_advantage
MeetingPro,Event Tech,11-50,Series B,"Boston, MA",Event Tech platform for enterprises,2019,51-200,https://meetingpro.com,2025-08-11 22:09:11,discovery_20250811_220911,Pearson MyLab platform experience directly applicable
EventBoost,Event Tech,51-200,Bootstrap,"Denver, CO",Event Tech platform for enterprises,2022,51-200,https://eventboost.com,2025-08-11 22:09:11,discovery_20250811_220911,Pearson MyLab platform experience directly applicable
GatherSpace,Event Tech,51-200,Seed,"San Francisco, CA",Event Tech platform for enterprises,2023,11-50,https://gatherspace.com,2025-08-11 22:09:11,discovery_20250811_220911,Pearson MyLab platform experience directly applicable
AnalyticsPro,User Analytics,101-250,Series A,"Denver, CO",User Analytics platform for enterprises,2018,11-50,https://analyticspro.com,2025-08-11 22:09:11,discovery_20250811_220911,Pearson MyLab platform experience directly applicable
UserInsight,User Analytics,11-50,Series A,"Denver, CO",User Analytics platform for enterprises,2019,51-200,https://userinsight.com,2025-08-11 22:09:11,discovery_20250811_220911,Pearson MyLab platform experience directly applicable
BehaviorAI,User Analytics,51-200,Series A,"Boston, MA",User Analytics platform for enterprises,2018,51-200,https://behaviorai.com,2025-08-11 22:09:11,discovery_20250811_220911,Pearson MyLab platform experience directly applicable
SuccessMetrics,Customer Success,51-200,Seed,"Boston, MA",Customer Success platform for enterprises,2022,101-250,https://successmetrics.com,2025-08-11 22:09:11,discovery_20250811_220911,Pearson MyLab platform experience directly applicable
OnboardFlow,Customer Success,51-200,Seed,"Boston, MA",Customer Success platform for enterprises,2019,101-250,https://onboardflow.com,2025-08-11 22:09:11,discovery_20250811_220911,Pearson MyLab platform experience directly applicable
UserSuccess,Customer Success,11-50,Series B,"Denver, CO",Customer Success platform for enterprises,2021,11-50,https://usersuccess.com,2025-08-11 22:09:11,discovery_20250811_220911,Pearson MyLab platform experience directly applicable
FinanceAI,Fintech,101-250,Bootstrap,"Austin, TX",Fintech solutions for enterprises,2019,201-500,https://financeai.com,2025-08-11 22:09:11,discovery_20250811_220911,International/cross-border experience valued
SuperSystems,Defense Technology,11-50,Seed,"Toronto, CA",Defense Technology startup,2021,11-50,https://supersystems.com,2025-08-11 22:09:11,discovery_20250811_220911,Military/public safety experience valued
PinnacleSystems,Defense Technology,101-250,Series A,"New York, NY",Defense Technology startup,2024,11-50,https://pinnaclesystems.com,2025-08-11 22:09:11,discovery_20250811_220911,Military/public safety experience valued
DynamicAI,Payment Processing,51-200,Pre-Seed,"San Francisco, CA",Payment Processing startup,2023,11-50,https://dynamicai.com,2025-08-11 22:09:11,discovery_20250811_220911,International/cross-border experience valued
NexusHub,Payment Processing,11-50,Pre-Seed,"Austin, TX",Payment Processing startup,2021,11-50,https://nexushub.com,2025-08-11 22:09:11,discovery_20250811_220911,International/cross-border experience valued
PrimeLabs,Defense Technology,51-200,Series A,"London, UK",Defense Technology startup,2021,51-200,https://primelabs.com,2025-08-11 22:09:11,discovery_20250811_220911,Military/public safety experience valued
VertexAI,Payment Processing,11-50,Seed,"Berlin, DE",Payment Processing startup,2024,51-200,https://vertexai.com,2025-08-11 22:09:11,discovery_20250811_220911,International/cross-border experience valued
PinnacleAI,Payment Processing,11-50,Seed,"San Francisco, CA",Payment Processing startup,2020,51-200,https://pinnacleai.com,2025-08-11 22:09:11,discovery_20250811_220911,International/cross-border experience valued
OptimalPro,User Analytics,51-200,Seed,Remote,User Analytics startup,2024,51-200,https://optimalpro.com,2025-08-11 22:09:11,discovery_20250811_220911,Pearson MyLab platform experience directly applicable
MatrixPro,Customer Success Platform,101-250,Pre-Seed,"Toronto, CA",Customer Success Platform startup,2022,51-200,https://matrixpro.com,2025-08-11 22:09:11,discovery_20250811_220911,Pearson MyLab platform experience directly applicable
VertexSolutions,User Analytics,101-250,Series A,"Toronto, CA",User Analytics startup,2022,11-50,https://vertexsolutions.com,2025-08-11 22:09:11,discovery_20250811_220911,Pearson MyLab platform experience directly applicable
